name,chip,cpu_cores,gpu_cores,memory,storage,display_size,color,current_price,original_price,savings,discount_percentage,connectivity,url,model_sku,scraped_at
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Sky Blue,M4,10-Core CPU,10-Core GPU,16GB,1TB,13-inch,Blue,1189.0,,,,Wi-Fi,https://www.apple.com/uk/shop/product/G1H80B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Sky-Blue?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,G1H80B,2025-08-27 18:11:40
Refurbished 15-inch MacBook Air Apple M2 Chip with 8‑Core CPU and 10‑Core GPU - Space Grey,M2,8-Core CPU,10-Core GPU,16GB,1TB,15-inch,Space Grey,1219.0,,,,Wi-Fi,https://www.apple.com/uk/shop/product/G18N3B/A/refurbished-15-inch-macbook-air-apple-m2-chip-with-8%E2%80%91core-cpu-and-10%E2%80%91core-gpu-space-grey?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,G18N3B,2025-08-27 18:11:40
Refurbished 15-inch MacBook Air Apple M2 Chip with 8‑Core CPU and 10‑Core GPU - Starlight,M2,8-Core CPU,10-Core GPU,16GB,1TB,15-inch,Starlight,1219.0,,,,Wi-Fi,https://www.apple.com/uk/shop/product/G18S3B/A/refurbished-15-inch-macbook-air-apple-m2-chip-with-8%E2%80%91core-cpu-and-10%E2%80%91core-gpu-starlight?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,G18S3B,2025-08-27 18:11:40
Refurbished 15-inch MacBook Air Apple M2 Chip with 8‑Core CPU and 10‑Core GPU - Midnight,M2,8-Core CPU,10-Core GPU,16GB,1TB,15-inch,Midnight,1219.0,,,,Wi-Fi,https://www.apple.com/uk/shop/product/G18U3B/A/refurbished-15-inch-macbook-air-apple-m2-chip-with-8%E2%80%91core-cpu-and-10%E2%80%91core-gpu-midnight?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,G18U3B,2025-08-27 18:11:40
Refurbished 24-inch iMac Apple M3 Chip with 8-Core CPU and 10-Core GPU - Silver,M3,8-Core CPU,10-Core GPU,16GB,256GB,24-inch,Silver,1239.0,,,,Gigabit Ethernet,https://www.apple.com/uk/shop/product/G19D0B/A/Refurbished-24-inch-iMac-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Silver?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,G19D0B,2025-08-27 18:11:40
Refurbished 24-inch iMac Apple M3 Chip with 8-Core CPU and 10-Core GPU - Yellow,M3,8-Core CPU,10-Core GPU,16GB,256GB,24-inch,Yellow,1239.0,,,,Gigabit Ethernet,https://www.apple.com/uk/shop/product/G19F0B/A/Refurbished-24-inch-iMac-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Yellow?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,G19F0B,2025-08-27 18:11:40
Refurbished 24-inch iMac Apple M3 Chip with 8-Core CPU and 10-Core GPU - Blue,M3,8-Core CPU,10-Core GPU,16GB,256GB,24-inch,Blue,1239.0,,,,Gigabit Ethernet,https://www.apple.com/uk/shop/product/G19K0B/A/Refurbished-24-inch-iMac-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Blue?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,G19K0B,2025-08-27 18:11:40
Refurbished 24-inch iMac Apple M3 Chip with 8-Core CPU and 10-Core GPU - Silver,M3,8-Core CPU,10-Core GPU,8GB,512GB,24-inch,Silver,1269.0,1599.0,330.0,20.64,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FQRK3B/A/Refurbished-24-inch-iMac-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Silver?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,FQRK3B,2025-08-27 18:11:40
Refurbished 24-inch iMac Apple M3 Chip with 8-Core CPU and 10-Core GPU - Green,M3,8-Core CPU,10-Core GPU,8GB,512GB,24-inch,Green,1269.0,1599.0,330.0,20.64,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FQRP3B/A/Refurbished-24-inch-iMac-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Green?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,FQRP3B,2025-08-27 18:11:40
Refurbished 24-inch iMac Apple M3 Chip with 8-Core CPU and 10-Core GPU - Blue,M3,8-Core CPU,10-Core GPU,8GB,512GB,24-inch,Blue,1269.0,1599.0,330.0,20.64,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FQRR3B/A/Refurbished-24-inch-iMac-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Blue?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,FQRR3B,2025-08-27 18:11:40
