Title,Condition,Price,Change,URL,Machine,Model,Year,CPU,CPU Cores,HD (GB),RAM (GB),GPU,Colour,Grade,Seller,Warning,Timestamp,Timestamp Day,Timestamp Day.1,Variant ID
Refurbished 24-inch iMac Apple M4 Chip with 8-Core CPU and 8-Core GPU – Pink,Refurbished,1099.0,0,https://www.apple.com/uk/shop/product/FWUG3B/A/Refurbished-24-inch-iMac-Apple-M4-Chip-with-8-Core-CPU-and-8-Core-GPU-Pink?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,iMac 24-inch,M4,2024.0,M4,8,256,16.0,8,Pink,Excellent,Apple,,2025-08-06 11:52:31,2025-08-06,2025-08-06,
Refurbished 24-inch iMac Apple M4 Chip with 8-Core CPU and 8-Core GPU – Purple,Refurbished,1099.0,0,https://www.apple.com/uk/shop/product/FWUH3B/A/Refurbished-24-inch-iMac-Apple-M4-Chip-with-8-Core-CPU-and-8-Core-GPU-Purple?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,iMac 24-inch,M4,2024.0,M4,8,256,16.0,8,Purple,Excellent,Apple,,2025-08-06 11:52:31,2025-08-06,2025-08-06,
Refurbished 24-inch iMac Apple M4 Chip with 8-Core CPU and 8-Core GPU – Orange,Refurbished,1099.0,0,https://www.apple.com/uk/shop/product/FWUJ3B/A/Refurbished-24-inch-iMac-Apple-M4-Chip-with-8-Core-CPU-and-8-Core-GPU-Orange?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,iMac 24-inch,M4,2024.0,M4,8,256,16.0,8,Orange,Excellent,Apple,,2025-08-06 11:52:31,2025-08-06,2025-08-06,
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Sky Blue,Refurbished,1099.0,0,https://www.apple.com/uk/shop/product/G1H71B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Sky-Blue?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,MacBook Air 13-inch,M4,2024.0,M4,10,256,24.0,10,Blue,Excellent,Apple,,2025-08-06 11:52:31,2025-08-06,2025-08-06,
"Refurbished 24-inch iMac Apple M4 Chip with 8-Core CPU and 8-Core GPU, Gigabit Ethernet – Silver",Refurbished,1129.0,0,https://www.apple.com/uk/shop/product/G1E20B/A/Refurbished-24-inch-iMac-Apple-M4-Chip-with-8-Core-CPU-and-8-Core-GPU-Gigabit-Ethernet-Silver?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,iMac 24-inch,M4,2024.0,M4,8,256,16.0,8,Silver,Excellent,Apple,,2025-08-06 11:52:31,2025-08-06,2025-08-06,
"Refurbished 24-inch iMac Apple M1 Chip with 8‑Core CPU and 8‑Core GPU, Gigabit Ethernet - Purple",Refurbished,1149.0,0,https://www.apple.com/uk/shop/product/G1300B/A/Refurbished-24-inch-iMac-Apple-M1-Chip-with-8%E2%80%91Core-CPU-and-8%E2%80%91Core-GPU-Gigabit-Ethernet-Silver?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,iMac 24-inch,M1,2020.0,M1,8,256,16.0,8,Purple,Excellent,Apple,,2025-08-06 11:52:31,2025-08-06,2025-08-06,
"Refurbished 24-inch iMac Apple M1 Chip with 8‑Core CPU and 8‑Core GPU, Gigabit Ethernet - Yellow",Refurbished,1179.0,0,https://www.apple.com/uk/shop/product/FGPG3B/A/Refurbished-24-inch-iMac-Apple-M1-Chip-with-8%E2%80%91Core-CPU-and-8%E2%80%91Core-GPU-Gigabit-Ethernet-Silver?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,iMac 24-inch,M1,2020.0,M1,8,512,8.0,8,Yellow,Excellent,Apple,,2025-08-06 11:52:31,2025-08-06,2025-08-06,
"Refurbished 24-inch iMac Apple M1 Chip with 8‑Core CPU and 8‑Core GPU, Gigabit Ethernet - Green",Refurbished,1179.0,0,https://www.apple.com/uk/shop/product/FGPJ3B/A/Refurbished-24-inch-iMac-Apple-M1-Chip-with-8%E2%80%91Core-CPU-and-8%E2%80%91Core-GPU-Gigabit-Ethernet-Silver?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,iMac 24-inch,M1,2020.0,M1,8,512,8.0,8,Green,Excellent,Apple,,2025-08-06 11:52:31,2025-08-06,2025-08-06,
"Refurbished 24-inch iMac Apple M1 Chip with 8‑Core CPU and 8‑Core GPU, Gigabit Ethernet - Blue",Refurbished,1179.0,0,https://www.apple.com/uk/shop/product/FGPL3B/A/Refurbished-24-inch-iMac-Apple-M1-Chip-with-8%E2%80%91Core-CPU-and-8%E2%80%91Core-GPU-Gigabit-Ethernet-Blue?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,iMac 24-inch,M1,2020.0,M1,8,512,8.0,8,Blue,Excellent,Apple,,2025-08-06 11:52:31,2025-08-06,2025-08-06,
"Refurbished 24-inch iMac Apple M1 Chip with 8‑Core CPU and 8‑Core GPU, Gigabit Ethernet - Pink",Refurbished,1179.0,0,https://www.apple.com/uk/shop/product/FGPN3B/A/Refurbished-24-inch-iMac-Apple-M1-Chip-with-8%E2%80%91Core-CPU-and-8%E2%80%91Core-GPU-Gigabit-Ethernet-Silver?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,iMac 24-inch,M1,2020.0,M1,8,512,8.0,8,Pink,Excellent,Apple,,2025-08-06 11:52:31,2025-08-06,2025-08-06,
