name,chip,memory,storage,display_size,color,current_price,original_price,savings,discount_percentage,connectivity,url,model_sku,scraped_at,product_info
Refurbished 24-inch iMac Apple M3 Chip with 8-Core CPU and 10-Core GPU - Blue,M3,8GB,,24-inch,Blue,1099.0,1399.0,300.0,21.44,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FQRQ3B/A/Refurbished-24-inch-iMac-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Blue?fnode=262633d5e956efcc14a3022014a50e9af18f1b292040a61985d7e87d86fe94915e50769d833663c8f68bc7a75f73cf358cd95270d6f552d1ea4cb4c5a1a4fd409333f54d11e82a68a0f06b6558752e06,FQRQ3B,2025-07-29 16:59:53,
Refurbished 24-inch iMac Apple M3 Chip with 8-Core CPU and 10-Core GPU - Pink,M3,8GB,,24-inch,Pink,1099.0,1399.0,300.0,21.44,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FQRT3B/A/Refurbished-24-inch-iMac-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Pink?fnode=262633d5e956efcc14a3022014a50e9af18f1b292040a61985d7e87d86fe94915e50769d833663c8f68bc7a75f73cf358cd95270d6f552d1ea4cb4c5a1a4fd409333f54d11e82a68a0f06b6558752e06,FQRT3B,2025-07-29 16:59:53,
Refurbished 24-inch iMac Apple M3 Chip with 8-Core CPU and 10-Core GPU - Purple,M3,8GB,,24-inch,Purple,1099.0,1399.0,300.0,21.44,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FQRV3B/A/Refurbished-24-inch-iMac-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Purple?fnode=262633d5e956efcc14a3022014a50e9af18f1b292040a61985d7e87d86fe94915e50769d833663c8f68bc7a75f73cf358cd95270d6f552d1ea4cb4c5a1a4fd409333f54d11e82a68a0f06b6558752e06,FQRV3B,2025-07-29 16:59:53,
Refurbished 24-inch iMac Apple M3 Chip with 8-Core CPU and 10-Core GPU - Orange,M3,8GB,,24-inch,Orange,1099.0,1399.0,300.0,21.44,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FQRX3B/A/Refurbished-24-inch-iMac-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Orange?fnode=262633d5e956efcc14a3022014a50e9af18f1b292040a61985d7e87d86fe94915e50769d833663c8f68bc7a75f73cf358cd95270d6f552d1ea4cb4c5a1a4fd409333f54d11e82a68a0f06b6558752e06,FQRX3B,2025-07-29 16:59:53,
Refurbished 15-inch MacBook Air Apple M3 Chip with 8‑Core CPU and 10‑Core GPU - Silver,M3,16GB,,15-inch,Silver,509.0,599.0,90.0,15.03,Wi-Fi,https://www.apple.com/uk/shop/product/G1BS2B/A/Refurbished-15-inch-MacBook-Air-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Silver?fnode=262633d5e956efcc14a3022014a50e9af18f1b292040a61985d7e87d86fe94915e50769d833663c8f68bc7a75f73cf358cd95270d6f552d1ea4cb4c5a1a4fd409333f54d11e82a68a0f06b6558752e06,G1BS2B,2025-07-29 16:59:53,
Refurbished 15-inch MacBook Air Apple M3 Chip with 8‑Core CPU and 10‑Core GPU - Midnight,M3,16GB,,15-inch,Midnight,509.0,599.0,90.0,15.03,Wi-Fi,https://www.apple.com/uk/shop/product/G1BW2B/A/Refurbished-15-inch-MacBook-Air-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Midnight?fnode=262633d5e956efcc14a3022014a50e9af18f1b292040a61985d7e87d86fe94915e50769d833663c8f68bc7a75f73cf358cd95270d6f552d1ea4cb4c5a1a4fd409333f54d11e82a68a0f06b6558752e06,G1BW2B,2025-07-29 16:59:53,
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Sky Blue,M4,24GB,,13-inch,Sky Blue,509.0,599.0,90.0,15.03,Wi-Fi,https://www.apple.com/uk/shop/product/G1H71B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Sky-Blue?fnode=262633d5e956efcc14a3022014a50e9af18f1b292040a61985d7e87d86fe94915e50769d833663c8f68bc7a75f73cf358cd95270d6f552d1ea4cb4c5a1a4fd409333f54d11e82a68a0f06b6558752e06,G1H71B,2025-07-29 16:59:53,
"Refurbished 24-inch iMac Apple M1 Chip with 8‑Core CPU and 8‑Core GPU, Gigabit Ethernet - Yellow",M1,8GB,,24-inch,Yellow,1179.0,1749.0,570.0,32.59,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FGPG3B/A/Refurbished-24-inch-iMac-Apple-M1-Chip-with-8%E2%80%91Core-CPU-and-8%E2%80%91Core-GPU-Gigabit-Ethernet-Silver?fnode=262633d5e956efcc14a3022014a50e9af18f1b292040a61985d7e87d86fe94915e50769d833663c8f68bc7a75f73cf358cd95270d6f552d1ea4cb4c5a1a4fd409333f54d11e82a68a0f06b6558752e06,FGPG3B,2025-07-29 16:59:53,
"Refurbished 24-inch iMac Apple M1 Chip with 8‑Core CPU and 8‑Core GPU, Gigabit Ethernet - Green",M1,8GB,,24-inch,Green,1179.0,1749.0,570.0,32.59,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FGPJ3B/A/Refurbished-24-inch-iMac-Apple-M1-Chip-with-8%E2%80%91Core-CPU-and-8%E2%80%91Core-GPU-Gigabit-Ethernet-Silver?fnode=262633d5e956efcc14a3022014a50e9af18f1b292040a61985d7e87d86fe94915e50769d833663c8f68bc7a75f73cf358cd95270d6f552d1ea4cb4c5a1a4fd409333f54d11e82a68a0f06b6558752e06,FGPJ3B,2025-07-29 16:59:53,
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Silver,M4,24GB,,13-inch,Silver,1189.0,1399.0,210.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FC654B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Silver?fnode=262633d5e956efcc14a3022014a50e9af18f1b292040a61985d7e87d86fe94915e50769d833663c8f68bc7a75f73cf358cd95270d6f552d1ea4cb4c5a1a4fd409333f54d11e82a68a0f06b6558752e06,FC654B,2025-07-29 16:59:53,
