name,chip,cpu_cores,gpu_cores,memory,storage,display_size,color,current_price,original_price,savings,discount_percentage,connectivity,url,model_sku,scraped_at
Refurbished 24-inch iMac Apple M4 Chip with 8-Core CPU and 8-Core GPU – Pink,M4,8-Core CPU,8-Core GPU,16GB,256GB,24-inch,Pink,1099.0,1299.0,200.0,15.4,Wi-Fi,https://www.apple.com/uk/shop/product/FWUG3B/A/Refurbished-24-inch-iMac-Apple-M4-Chip-with-8-Core-CPU-and-8-Core-GPU-Pink?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,FWUG3B,2025-08-06 11:52:31
Refurbished 24-inch iMac Apple M4 Chip with 8-Core CPU and 8-Core GPU – Purple,M4,8-Core CPU,8-Core GPU,16GB,256GB,24-inch,Purple,1099.0,1299.0,200.0,15.4,Wi-Fi,https://www.apple.com/uk/shop/product/FWUH3B/A/Refurbished-24-inch-iMac-Apple-M4-Chip-with-8-Core-CPU-and-8-Core-GPU-Purple?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,FWUH3B,2025-08-06 11:52:31
Refurbished 24-inch iMac Apple M4 Chip with 8-Core CPU and 8-Core GPU – Orange,M4,8-Core CPU,8-Core GPU,16GB,256GB,24-inch,Orange,1099.0,1299.0,200.0,15.4,Wi-Fi,https://www.apple.com/uk/shop/product/FWUJ3B/A/Refurbished-24-inch-iMac-Apple-M4-Chip-with-8-Core-CPU-and-8-Core-GPU-Orange?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,FWUJ3B,2025-08-06 11:52:31
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Sky Blue,M4,10-Core CPU,10-Core GPU,24GB,256GB,13-inch,Blue,1099.0,,,,Wi-Fi,https://www.apple.com/uk/shop/product/G1H71B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Sky-Blue?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,G1H71B,2025-08-06 11:52:31
"Refurbished 24-inch iMac Apple M4 Chip with 8-Core CPU and 8-Core GPU, Gigabit Ethernet – Silver",M4,8-Core CPU,8-Core GPU,16GB,256GB,24-inch,Silver,1129.0,,,,Gigabit Ethernet,https://www.apple.com/uk/shop/product/G1E20B/A/Refurbished-24-inch-iMac-Apple-M4-Chip-with-8-Core-CPU-and-8-Core-GPU-Gigabit-Ethernet-Silver?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,G1E20B,2025-08-06 11:52:31
"Refurbished 24-inch iMac Apple M1 Chip with 8‑Core CPU and 8‑Core GPU, Gigabit Ethernet - Purple",M1,8-Core CPU,8-Core GPU,16GB,256GB,24-inch,Purple,1149.0,,,,Gigabit Ethernet,https://www.apple.com/uk/shop/product/G1300B/A/Refurbished-24-inch-iMac-Apple-M1-Chip-with-8%E2%80%91Core-CPU-and-8%E2%80%91Core-GPU-Gigabit-Ethernet-Silver?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,G1300B,2025-08-06 11:52:31
"Refurbished 24-inch iMac Apple M1 Chip with 8‑Core CPU and 8‑Core GPU, Gigabit Ethernet - Yellow",M1,8-Core CPU,8-Core GPU,8GB,512GB,24-inch,Yellow,1179.0,1749.0,570.0,32.59,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FGPG3B/A/Refurbished-24-inch-iMac-Apple-M1-Chip-with-8%E2%80%91Core-CPU-and-8%E2%80%91Core-GPU-Gigabit-Ethernet-Silver?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,FGPG3B,2025-08-06 11:52:31
"Refurbished 24-inch iMac Apple M1 Chip with 8‑Core CPU and 8‑Core GPU, Gigabit Ethernet - Green",M1,8-Core CPU,8-Core GPU,8GB,512GB,24-inch,Green,1179.0,1749.0,570.0,32.59,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FGPJ3B/A/Refurbished-24-inch-iMac-Apple-M1-Chip-with-8%E2%80%91Core-CPU-and-8%E2%80%91Core-GPU-Gigabit-Ethernet-Silver?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,FGPJ3B,2025-08-06 11:52:31
"Refurbished 24-inch iMac Apple M1 Chip with 8‑Core CPU and 8‑Core GPU, Gigabit Ethernet - Blue",M1,8-Core CPU,8-Core GPU,8GB,512GB,24-inch,Blue,1179.0,1749.0,570.0,32.59,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FGPL3B/A/Refurbished-24-inch-iMac-Apple-M1-Chip-with-8%E2%80%91Core-CPU-and-8%E2%80%91Core-GPU-Gigabit-Ethernet-Blue?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,FGPL3B,2025-08-06 11:52:31
"Refurbished 24-inch iMac Apple M1 Chip with 8‑Core CPU and 8‑Core GPU, Gigabit Ethernet - Pink",M1,8-Core CPU,8-Core GPU,8GB,512GB,24-inch,Pink,1179.0,1749.0,570.0,32.59,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FGPN3B/A/Refurbished-24-inch-iMac-Apple-M1-Chip-with-8%E2%80%91Core-CPU-and-8%E2%80%91Core-GPU-Gigabit-Ethernet-Silver?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,FGPN3B,2025-08-06 11:52:31
